ID,content
52,Saya sangat suka dengan permainan ini
53,setiap gw main ml habis menang sekali kalah dua kali gitu doang yang gua rasain pas tiap hari main mlbb
54,"BENERIN DONG BUG YANG ""DI DETIK-DETIK TERAKHIR SAAT DRAFT PICK"" TIBA-TIBA JADI LAG! PADAHAL DEVICE KU BAGUS!"
55,gw kan lagi main dan gw menang tapi ada notifikasi suruh gw keluar pas gw login balik bintang gw masih sama ga naik woi moonton benerin nih bug.jadi ga mood main gw gara-gara ni bug
56,sangat seru
57,sangat seru dan nagih
58,ml tlol gak jelas msa gw menang main rank tapi bintang gw gak naik sumpah bug ap ini tolong lh perbaikin game ini
59,"matching baru aja mulai bintang 18 udh victory harusnya naik 19 tapi kok pas game play nya udah kelar lag??? disuruh nunggu tapi hasilnya sama aja kalau di batalin malah ga bisa main lagi selama 5 menit??? bintang pun ga naik, hasil pertandingan gak ada, ini game mulai rusak apa gimana developer tolong dong balikin bintang guwe naik 19 ini masih 18 rugi waktu guwe ajg, udah ber-season² tapi masih aja kaya gini servernya even,skin terus yang di update sistem/server kaya ampas gwe main udah lama.."
60,"server nya di perbaiki lah min baru juga awal season, padahal jaringan lancar aja tapi in game ping nya ga stabil udah beberapa hari loh, jangan cuma skin yang di update noh server nya di perbaiki"
61,game nya rusak saya udah main menang tapi gak dihitung pertandingan nya juga gaada padahal udah main dan itu menang memang game nya rusak game ml tidak saya rekomendasi kan kerena game nya rusak main susah payah malah bintang gak nambah padahal menang
62,"ini kenapa yah udah menang bermain kok tiba"" tidak terhubung pas di cek riwayat match malah nda kehitung pertandinganya??"
63,gaje udah mah gw menang malah ga dapat bintangnya buang buang waktu perbaikin lagi tuh game
64,gamenya susah banget
65,udah menang tapi langsung ngelag padahal sinyal bagus terus bintang nya ga nambah padal udah victory montonnn gimana iniiii☹️😫🤬😡😠
66,"ini ml tolong Mach nya di perbaiki soalnya gua tadi menang ngga naik bintang saya tolong di perbaiki, udah cape cape maen malah ngga naik"
67,game rusak
68,game terburuk
69,bissmillah ws
70,gem nya bagus
71,Ini apa ini tadi gua habis main rank menang tapi bintangnya ga nambah
72,"saya sudah memenangkan pertandingan,tetapi tiba tiba koneksi terputus dari server,padahal koneksi saya bagus,tolong kasih bintang saya!"
73,bgusss
74,"masa waktu afk kalo menang bintang nya ga nambah tapi kalo kalah ngurang , mohon di perbaiki monton"
75,"rank ga seimbang,, gua imo dikasih tim rank tertinggi lejen 1. anjing lah"
76,"tolong benerin ini kenapa koneksi gagal terus. wifi normal loh, bahkan data seluler pun aktif. aneh banget nih game lama lama. rusak"
77,"game nya bagus tapi ngasih tim nya selalu dark system aku capek, capekk bangetttt 😞plis lah ngasih tim yang bener Napa aku capek dari legend satu turun sampe legend 3, capekkkk 😞😞"
78,"Bisa2 nya habis menang rank tiba2 jaringan menghubungkan ulang terus pas login kembali hasil menang rank nya tiba2 hilang gak ada di history, parah licik bener moonton"
79,menurut saya game nya di seremin pagi heronya dan babhi bagi sekin celector geratis
80,kecewa macth gk se imbang di kasih tim pemula dan gk bisa main padahal rank mytic aneh nya Kenapa kalo musuh yang pake pada Oke tapi kenapa giliran di pake tim hhero se op apa semeta apa pun gk ada bener nya malah nge feed tolomg perbaiki lagi kalo udh Oke tar di nasikin bintang nya gk ngerti main cara gmna lg pensi aja lah
81,game apa ini udah menang kok malah gak dikasih bintang malah muncul notif jaringan terputus padahal sinyal bagus.Tolong diperbaiki ton MONTOONN
82,PERBAIKI SISTEM MU MOONTON
83,sangat bagus
84,"kalau habis main kenapa loby nya jadi ungu semua , padahal jaringan stabil"
85,game taik
86,"aku suka banget geme ini disa ketemu sama player lain , pokoknya gaada obat geme nya bagus. 👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩😶‍🌫️☠️🔥🔥🔥🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥"
87,"tolong penjelasannya, masa main rank menang ga nambah bintang,terus pertandingannya di histori gada"
88,saya barusan top up tapi kok diamond nya tidak masuk??
89,game tolol
90,gedek banget liat montoon masa rank gua Masi legend 5 bintang 2terus main rank pas main menang lalu gaada sinyal masa bintang ga nambah padahal udah menang males bet ml sekarang kek gini
91,"game aneh , habis update malah server gajelas menghubungkan ulang terus"
92,"woi moonton😡 naikin bintang aku, aku ceritain sini, barusan aku main kan victory, tiba tiba kayak ngelag, setelah itu bintang aku gak nambah tetep legend bintang 2, pls lah tolong moonton"
93,matchmaking yg tidak manuk akal
94,"kasih lose streak terus ya moonton,jangan lupa"
95,Game mantul
96,"game anjjjjjjjj udah menang bintang ga nambah, histori pertandingannya ga ada lagi gajelass"
97,"bagus aku sudah sering main, tapi aku bingung nya disini knp pas aku main rank itu tim ku rank nya gak seimbang ada yang master ada yang warior, jadi kaya misal aku rank master kan kalo rank itu semua nya harus rank nya sama nah ini aku kok malah ada yang warrior ada yang grandmaseter jadi kaya main classic. Tolong ya diganti🙏"
98,game gk guna menang kalah menang kalah terus bikin sakit hati game ppk
99,bagussssssssssssssss
100,semua skin pakai berlian belinya hero-nya skin nya kek mana nunggunya beli punya bisa semua skin beli pakai berlian tambah kaya lah kamu semuanya kamu kayak beli-belian
101,bjirrrrr bagusssssssssss bangett cokkkkkoooooo
102,moonton ngantuk pekok
103,makin di ufdet makin nglek bjirr
104,game apaan gini awal season machtmaching gajelas
105,kau lah teman terbaek ku..... makasih skin m7 nya papa monoton love you sekebon dah❤❤❤❤❤
106,sangat bagus
107,moonton please kasih tim yang bagus anda yang sangat baik
108,game nya bagus playernya tolong dihapus
109,Game rusak maen duo dikasih team gajelas sampe Lose Streak 14x. Game aneh gak sehat ngerusak mental
110,apalah di in game lag padahal sinyal ijo kukira bug eh ternyata 3 hari +
111,"mainan nya seru banget bisa join sama org, jadi bisa main bareng temen deh, dan mohon kerusakan permainan nya di perbaiki lebih teliti/baik lagi ya👍👍👍"
112,boleh juga
113,game ini sangat seru bgt
114,tolong hapus hero fredrin!
115,GAME GILA
116,game nya sih bagus banget. tapi sayangnya banyak player dari sistem. dan tolong ditambahkan fitur kalau kalah tapi MVP bintang akan naik
117,mw gnti akun aja susah bgt tp gpp sru kadang tim nya dikasi yg dark sistem monye
118,kenapa ml saya sering banget di reset data
119,bagusssssss
120,"game tolol, bisa-bisanya dikasih bot dalam tim gw. Makin aneh game tolol ini!"
121,game gj gw topup malah DM gua nurun koplok
122,game lag bgt dapet tim dark sistem
123,gem apa ini..bosok
124,bagus
125,kalok mau menang sinyal nya di jelekin padahal mah sinyal di tempat gw enak pertamanya emang kelakuannya si monton
126,"ini gimana moonton capek banget dapet tim gak bener ,udah usaha tapi kalah terus gak bener capek banget gw dah muak banget gw"
127,"game apaan bikin darah tinggi,timnya oon semua"
128,gak seru karena mb nya kebesaran
129,"permainan ini sangat bagus untuk menghilangkan rasa leleh,saya suka ber main mobile legends,apa lagi tim nya mengerti tentang kondisi,lebih serunya lawan nya lebih kuat dari kita, jadi lebih semangat main nya,pokonya suka"
130,game kontol game anjing game stres
131,bagus
132,gw kasih bintang lima karna kasihan
133,aku gak terlalu suka kerena kalau aku beli sikon pasti keluar
134,kasi aja trus dark sistem biar banyak orang yang hapus game lu
135,game aneh lose treak terus gajelas ga rekomendasi buat yang darah tinggi
136,game haram tai
137,gamenya gak bisa di ajak kerja sama saat aku lagi jalan sinyalnya bagus tapi saat war malah jelek padahal baru beli paketan
138,iklan mulu jing
139,sangat bagus untuk meningkatkan stress dan darah tinggi
140,"boleh aja sih ada dark system tpi jgn di tim gue terus lah, gantian di musuh ada dark system"
141,game sangat seru di main kan
142,"kalo ad yg mati lebih Dari 10 ban langsung akunnya moonton minimal 7 Hari gitu biar gak Ada yg ngetroll, cape ketemu orang orang yg ngetroll"
143,Gak dikasih legend
144,5bintang
145,Banyak cok drak sistem
146,game skrng tambah kacau.. ngk enak lagi main sdh banyak player2 ngak jelas initi sdh tidak bagus lagi
147,developer tolong dong tim saya kasih yg jago² trus musuhnya kasih yg gajago biar saya bisa naik ke immortal saya juga ingin ke immortal moonton sayangg tolongg yaa:)
148,ngasih tim yang seimbang biar main nya enak
149,seru bgttt
150,sy menyukai
151,game nya sangat ramah
152,game nya sangat bagus dan baik karena membuat ku emosi dan kalah terus😁😁
153,ga jelas di kasih tim munyung terus bikin otak ga rileks bukannya nyenengin malah bisa bikin stres munyong
154,"hadeh moonton daripada ngasih event skin gaguna, mending lu benerin server lu dlu hadehhh, gimana gw mau maem kalo ngelag terus server nya"
155,GAME BIADAB MAU NAIK LEVEL TERAKHIR SELALU LAGG PADAHAL DIBUAT YANG LAIN TIDAK LAGG
156,"bagus, tapi dikasih tim ga bisa main"
157,"lumayan , yak karena lumayan dan karena lumayan seru terus lumayan agak lumayan tetapi lumayan. kode rendem PINJAM DULU SERATUS"
158,game yg sangat toxic sangat tidak cocok untuk anak anak
159,buat Lo match meet the illegal kid and always have no intention in the game cave tired dog
160,huhuhu
161,"game hama, g adil ngasih tim, bikin stres"
162,"mlbb update sekarang kok mulai berat di hp ram 4 internal 64gb Snapdragon 665. udah mulai patah"", dan seperti game berat, kalo mau lancar harus di hapus data dan ulang download dan kira"" data yang di download jangan terlalu banyak agar gak patah"""
163,moonton tolong kalo kasi tim yg bener udah mati Matian padahal dan jaringan terasa lag pada wifi bagus tolong di perbaiki lagi
164,bagus asik lagi apalagi ada hero baru walaupun aku sering emosi tapi asik aja gitu.
165,bagus.
166,bagus banget terimakasih montoon sudah bagi² skin kalau bisa aku minta dyroth collector squad king of zarking nick name Kasem
167,maaf bintang 4 dlu soal nya suka ngelg pas lagi main padahal wifi aku gk gangguan tapi geme nya bagusss oh iyahhh kalian yg baca ini jangn lupa nyobain karakter sora subcriba YT Dremen oke
168,"haloo.... tolong dong dari pihak pengembang saya mau top up tapi ngga bisa gara-gara ada lock region tampa pemberitahuan, jdi ini lumayan merugikan sebagian player tolong yaa saya niat beli skin ini gk jdi mohon bantuannya terimakasih"
169,keren
170,banyak kali drak sistem
171,nggak bisa main ranked
172,tim nya gk suka nyuri buf gak guna beban tolol lagi bikin males main
173,adakah diamom montton
174,"Main ml sekarang beda sama yang dulu,pink ga stabil padahal sinyal bagus. bukannya benerin sinyal malah update grafik mulu"
175,kasih win lah monton cape kalah mulu padahal gua jago kon
176,minta tolong main awal season kalah terus ngepush mentok di epic karena main kalah menang yang kalah banyak mau the legend susah dapat ngetroll main Solo menang kalah yang menang sedikit yang kalah banyak
177,ey montoon kalo kasi lawan yang adil lah pemay tim gw dongo tim musuh udah kaya penjoki
178,"ini kenapa saya selalu dapat tim yang tolol, jadi tolong lah kasih saya tim yang hebat"
179,"playernya rata² anak haram wkwk, ga worth bngt main ni game"
180,saya ls sampai 7 kali dan moonton pelit bintang karena musuh saya glory
181,saat ber main sering terjadi lag
182,saya suka game perang
183,Game UDAH BANYAK BOTNYA PINDAH GAME LAH
184,gameeeeeeee stresssss orang2 idiot rank jauh bgt disatuin kalo main solo gajelas
185,game taik gak jelas sini berantem ma gw gane tolo emak lu gw ewe😹
186,permainan nya si oke tapi untuk devoleper sebaik nya kalau membagi tim kalau bermain si kasi la teman yang setara ama musu ini malah di kasi draksistem gimana gak emosi ini permainan
187,gem ini sangat seru tapi adajuga orang yang saling ledek
188,perbaiki sistem matchmaking
189,"game gk berguna, game tidak adil, masa solo ketwmu party"
190,ketemu dark sistem terus
191,game ini sangat bagus dan hero2nya juga banyak yang baru
192,seru banget sampai lupa waktu aku kira game ini ga seru teryata seru
193,"Game bikin emosi doang, pembagian tim gak seimbang, banyak bug, ping suka naik turun, stuck di loading pas masuk detik 35 dikasih notif afk emang game gajelas"
194,karena aku main selama ini kalah terus dan tidak dikasih lawan yang seimbang dan satu tim kita gak bisa main. tolong monton kasih lawan yang mudah untuk kami plisss pasti aku main ini terus kalo lawan kita seimbang. sekian dari saya terimakasih terima kasih
195,bgus banget jirrrr btw yg main anak bukan bapak nye yeee paham
196,"game rusak, match making gak pernah imbang, team lawan selalu bagsu di draft pick giliran team sendiri di kasih boot, bukan sekali dua kali, sampek lose streak 10 kali pun tetep aja di kasih team yang troll"
197,jaringan ijo gerak patah patah
198,seru
199,SAYA suka dengan game ml tapi saya agak mager kalau ketemu dark sistem dan saya stack di rank neraka jadi moonton tolong beri saya tim yang jago
200,game paling buruk sih nomor 1 tolong lah kasih sistem yang imbang menang gk pernah kalah setumbruk mending honor of king aja gua saranin kalo gk mau naik darah
201,"yaaa, thanks karna udh inget tgl ultah setiap player ml, thanks karna udh nmin gw buat nenangin dri di saat gw lg bnyk mslh di kehidupan gw dan terimakasih sma skin² yg bnyk lu gratis in, thank you, walaupun agak sedikit kesal karna klh² di game ini, overall... terimakasih"
202,tidak adil game sampah
203,Monton baik banget sampe bikin gua losestreak ☺️
204,nge lag patah patah padahal sinyal nya bagus 👎👎👎👎👎🤬🤬🤬
205,tolong kelarif apa kah ml beta ada ya
206,gem goblog anjing tim nya setan semuaaa monton aj ing goblog
207,main di ram 3 ngeleg habisss
208,sangat tidak seru
209,moonton anj
210,game tolol
211,"the best game online,memang game mobile legends game online one into the world"
212,gem nya burik gua main 4 jam kalah mulu
213,Game haram jink bikin setres
214,Permasalahan match matching yang sangat tidak seimbang dan penanganan yang sangat lambat
215,jaringan kyk tempek Tia pake gloo pasti ngelag kalo pake hero laen aman
216,hek
217,Tidak Fair
218,"game nya sudah sangat bagus tapi terkadang, padahal sinyal nya sangat bagus tapi sangat lag terimakasih"
219,"Lumayan,,,tp kdang ngeheng"
220,Tidak dapat menginstal dengan cara umum
221,Game Banyak Dark sistem Emang
222,seru
223,"kalau ada yg afk tolong,jangan dikasih main semingu di rank"
224,asik
225,game ini susah untuk di menang kan dan banyak dark system beredar
226,ok
227,game ny bagus sih tapi minus nya suka maju sendiri padahal wifi ku hijau tapi aku suka kok
228,game gajelas aku main di epic malah ketemu mitick
229,ga jelas bgt selalu dapet tim yang ga imbang sama musuhnya trs matchnya lama juga banyak bug mana jaringan sama sinyal bagus tp kagak bisa gerak lah kocak bgt lama² ga jelas ini game
230,game gj playernya pada toxic salah dikit ngata ngatain ortu
231,game jelek burik kikir pelit skin gak menambah damage atau speed pokoknya jelek
232,gem mati suri membuat kita semakin stress 😹😹😹
233,geme ini seru tolong di baca montoon kasi aku koin 1000000 oke
234,oke lah
235,jangan pernah memainkan game ini kalau anda tidak ingin stres
236,moonton jngn lu hilangin mode bacot di akhir game tolong gua pengen berkata kasar 😡
237,Jelek
238,horeee saya combeck muntun
239,"Why do I play with the dark system and it keeps getting harder and harder, the more bored I get playing Mobile Legends and the more fed up I am!!"
240,"ya elah monton ini geme ngilangin stres apa namba stres, yg Mabar itu di pisah monton yg sama solo player ini monton skin doang di perbanyak"
241,bagus
242,seru emang seru tapi banyak tim bot dark sistem emang ya moonton
243,MOBILE LEGENDS APLIKASI MOKONDO APLIKASI PECUNDANG
244,"kenapa ya akhir-akhir ini saat saya bermain Mobile Legends Bang Bang selalu ada bug aneh, saya pernah bermain mode solo tiba-tiba Tigreal mengirim pesan didalam gamenya. dan saat memulai gamenya selalu tidak pas misalnya terlalu lama loadingnya padahal teman saya sudah masuk ke gamenya, tolong diperbaiki ya Moonton🙏🏻"
245,"game g layak maen, sistem kek ta'i pas tingga 1 bintang untuk naik ke tier berikutnya mlh di kasi temen kek ta'i dan musuh ny mntan rank yg tinggi, gw ksi bintng 5 biar komen gw naik, gw g recomend ap ini sih sistem ny kek ta'i"
246,damage hero gak ngotak mending hapus aja cuy🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣
247,di season 39 terasa kalahh mulu lalu menang tapi lebih banyak kalah
248,"woy moontod, hapus aja hero angela. hero ga guna itu, hapus aja udah biar gada hama hama fomo pake angela"
249,game penuh darksistem.......
250,bgusssss bgttt
251,semua bagus cuman ngeleg sedikit kayak ngak ada nge bug langsung AFK juga kalau mau naik rank di kasih musuh kuat banget 😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭
252,monton kikir dongo gak mau rugi geme stress kalo bikin geme kasih batas umur koplok minimal yg main umur 14 tahunn jangan kayak gini di ketemuin nya sama anak kelas 3 SD gak ngoyak anyinggg
253,bagus2 aja cuma gw belum pernah mytic tolong lah moonton kasih gw musuh yang setara lah
254,omong kosong
255,Good Dark sisteam
256,ini maaf saya kasih reting buruk karena game ini buruk sekali apalagi jika main sendirian banyak player joki yang tidak layak bermain di renk tinggi mereka cuma bisa menyusahkan orang tolong sistem nya di benerin permudah player solo
257,"Hi Moonton kenpa game ini semkin hari semakin buruk, saya dari bintang 20 sampai bintang 2 gak adil banget ketemu team yang selalu trio tapi plyer pada bodoh, sedangkan jaringan pun suka leg leg mohon pertimbangan masa menang sekali kalah 7kali"
258,gem rusak isi dark sistem gem bodoh
259,"game gajelass aneh,,game apaann inii gak masuk masuk ke pertandingan skor kredit abis gara gara game ini"
260,"The game is good, but when I want to matchmake and have found a match, why can't I enter and instead get banned from matchmaking?"
261,sistem matchmakking yang tidak adil
262,"sistem matchmaking tidak adil, dimana letak game fairplay nya"
263,bagus aja
264,sistem matchmaking tidak setara benerin dulu lol
265,MOONTON KENAPA SIH MASIH AJA ADA BOT DI DALAM GAME .. BUAT GAK NYAMAN PLAYER SOLO .. JADI MALES MAIN SELALU DAPAT TIM BOT .. TOLONG DI BACA DAN DI RESPON
266,"game rusak ,bagus tutup aj lagi bikin laporan gk pernah ada tanggapan"
267,game nya sih bagus tapi kalau masalah tim timnya kurang bagus
268,"Mobile legends emang bagus tapi untuk sistem macth making cepetin full size kecilin sistem gacha harus nya dipermudah, sekian terimakasih papa moonton game Taiii"
269,aku mahu update kasi aku seorang
270,game gak jelas bikin kesel dan ada bocil yang suka ngetrol itu Kalo bisa di pisahkan
271,monton ga pernah adil sama gua musuhnya jago tim gua ga bisa main kalau ga percaya lihat akun gua STAR_BOY™
272,apalah kita solo mlh nabrak dua rusak game mu perbaiki dlu
273,"Game yang sangat kurang baik, apalagi solo, penyesuaian match nya tidak seimbang banget , najis bet skrng main mobile legends"
274,monton tolol kasih lawan yang susah terus jadi gua kasi bintang satu
275,game yg bikin orang gila
276,"game mobile legend bang bang ini seru banget,sangat mudah dan aku dapat tim yang hebat hebat,aku sangat sangat suka game,bisa di mainkan offline,aku sangat suka dan berterimakasih kepada pembuat mobile legend bang bang tersebut 😁😁🥴👍"
277,"jgn di download, jgn maen, game harem, game kikir, musuh ga setara, jaringan wallahualam."
278,moonton tidak adil untuk memberi tim drak sistem semua isinya
279,"GA PERNAH ADIL,CAPE LOSETREK ,GW GLORY DI KASIH TIM LEGEND ,GAME GA PERNAH ADIL"
280,"saya baru main langsung dapat banyak masalah di gamenya 1.jaringan, ini masalah yang sangat serius sih moonton masa jaringan gak bagus tapi di atas gua lihat jaringan nya bagus 🤨 2.di rank bawah, gua sering Nemu musuh baru beli boots (sepatu) damagenya udah late game padahal masih awal game 🤬 dilaporin pun sia sia ini sistem ml makin buruk sih👎🏻👎🏻 3.mengapa ketika saya afk dan masuk kembali lagi ke Game karena jaringan, gamenya malah memperlihatkan menit menit sebelumnya gua gk sempat nb🤬"
281,mlbb ngak bisa menyelesaikan masalah akun di ambil kecewa bangat padahal aplikasi se besar ini tidak bisa mengatasi akun di retas
282,sanggat kecewa banget . serasa tidak adil . perlakuan player2 yg bikin ngetroll . sudah di laporkan. ternyata cuma di ban 1 jam . kalau bisa di bban 1 Minggu. biar pada maen serius tidak asal2an
283,bagus
284,"developer sengaja kalo mau naik rank tinggal 1 poin kasih tim bot, tidak relevan"
285,kasih skin gratisan
286,geme nyah Sagat buruk dan juga susah main nyah kata sayamah hapus aja geme nyah geme glbusukkkk
287,"KALO GAK NGAMBIL EXP/ROAM , MATCHING BISA SEMINGGU BARU MAIN , KOCAK TOLOL NYA"
288,taii game
289,sangat bagus sekali 👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻🕴🏻🎥🚹🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨
290,"untuk solo player match tidak seimbang , terlalu banyak bot di ranked , tiba2 lag pada saat jaringan hijau . tolong diperbaiki , jgn kalah sama game sebelah"
291,game jelek
292,"tolonf moonton ngasih tim yang bener napa, jangan dikasih tim yang dark sistem terus"
293,"oi, gw main ml ga menang² njing, 5x ls 2x ws apaan dah game rusak, musuh jauh lebih baik daripada tim gw, perbaiki sistem matchmaking nya lol"
294,game nya bagus tapi sering bikin steessssss🙃
295,gamee hamaa burukk rupaaa
296,"matchmaking buruk, team tidak imbang, dikasihnya jelek mulu"
297,gem bagus bnget
298,game nya bagus
299,"matchmaking yang tidak adil,rekan saya lebih lemah dari saya dan musuh lebih kuat yang membuat pertandingan berjalan timpang sebelah."
300,game nya bagus dan bisa gak pakek wifi lo😁😁👍👍
301,tolkon game bagus sangt tidak pelit saya spin star gak dapet mikir asu
